SAG_TYPE,Sr No.,FileName,#Contracts,#Functions,FunctionID,#Variables,#Overhead,#Dead_nodes,EN,EX,RC,CV,SPV,NP,Time,OGR Size,SA OBJ Size
ssa,_,"-""-",-,-,1,3,2,2,0,0,9,0,0,2,281700000,1228400,976
ssa,_,"-""-",-,-,2,4,2,2,0,0,12,0,0,2,377000000,1228400,1225
ssa,_,"-""-",-,-,3,3,0,0,0,0,6,0,0,0,263200000,1228400,929
ssa,_,"-""-",-,-,4,3,0,0,0,0,6,0,0,0,301300000,1228400,1039
ssa,_,"-""-",-,-,5,4,0,0,0,0,0,0,0,0,326200000,1228400,1105
ssa,6,t5,1,6,0,3,1,1,0,0,6,0,0,1,279200000,1541224,1077
ssa,_,"-""-",-,-,1,4,1,0,0,0,8,0,0,1,302400000,1541224,980
ssa,_,"-""-",-,-,2,3,4,0,0,0,15,0,0,4,426900000,1541224,1318
ssa,_,"-""-",-,-,3,6,2,3,0,0,30,0,0,2,629800000,1541224,2013
ssa,_,"-""-",-,-,4,6,3,2,0,0,30,0,0,3,712900000,1541224,1920
ssa,_,"-""-",-,-,5,3,4,0,0,0,15,0,0,4,592000000,1541224,1727
ssa,7,t6,1,5,0,6,7,11,0,0,60,0,0,7,894000000,1871984,2672
ssa,_,"-""-",-,-,1,6,8,10,0,0,60,0,0,8,949000000,1871984,2674
ssa,_,"-""-",-,-,2,6,2,8,0,0,30,0,0,2,499700000,1871984,1485
ssa,_,"-""-",-,-,3,4,4,1,0,0,20,0,0,4,547200000,1871984,1525
ssa,_,"-""-",-,-,4,6,0,0,0,0,48,0,0,0,487800000,1871984,1352
ssa,8,t7,1,3,0,6,5,13,0,0,60,0,0,5,890700000,1894552,2502
ssa,_,"-""-",-,-,1,6,12,11,0,0,90,0,0,12,1416100000,1894552,3382
ssa,_,"-""-",-,-,2,4,12,9,0,0,60,0,0,12,1207100000,1894552,3202
ssa,9,t8,1,6,0,3,0,0,0,0,0,0,0,0,150900000,1871672,524
ssa,_,"-""-",-,-,1,4,0,0,0,0,8,0,0,0,512900000,1871672,875
ssa,_,"-""-",-,-,2,5,2,0,0,0,5,0,0,2,230300000,1871672,829
ssa,_,"-""-",-,-,3,3,0,0,0,0,6,0,0,0,199700000,1871672,718
ssa,_,"-""-",-,-,4,5,0,1,0,0,10,0,0,0,267100000,1871672,939
ssa,_,"-""-",-,-,5,3,0,0,0,0,6,0,0,0,139600000,1871672,635
ssa,10,t9,1,4,0,4,4,2,0,0,36,0,0,4,519500000,2177344,1711
ssa,_,"-""-",-,-,1,4,7,2,0,0,40,0,0,7,808100000,2177344,2063
ssa,_,"-""-",-,-,2,5,5,3,0,0,65,0,0,5,685400000,2177344,2221
ssa,_,"-""-",-,-,3,4,3,2,0,0,20,0,0,3,471300000,2177344,1397
SAG_TYPE,Sr No.,FileName,#Contracts,#Functions,FunctionID,#Variables,#Overhead,#Dead_nodes,EN,EX,RC,CV,SPV,NP,Time,OGR Size,SA OBJ Size
dsa,1,t0,1,11,0,3,2,2,0,0,0,0,0,2,267900000,696472,978
dsa,_,"-""-",-,-,1,3,0,2,0,0,0,0,0,0,256600000,696472,846
dsa,_,"-""-",-,-,2,3,1,3,0,0,0,0,0,1,261500000,696472,920
dsa,_,"-""-",-,-,3,3,1,3,0,0,0,0,0,1,268300000,696472,982
dsa,_,"-""-",-,-,4,3,1,5,0,0,0,0,0,1,389800000,696472,1160
dsa,_,"-""-",-,-,5,3,1,3,0,0,0,0,0,1,313500000,696472,1032
dsa,_,"-""-",-,-,6,3,2,8,0,0,0,0,0,2,409900000,696472,1401
dsa,_,"-""-",-,-,7,3,4,6,0,0,0,0,0,4,624400000,696472,1509
dsa,_,"-""-",-,-,8,3,5,9,0,0,0,0,0,5,1599600000,696472,1902
dsa,_,"-""-",-,-,9,4,4,6,0,0,0,0,0,4,692500000,696472,1308
dsa,_,"-""-",-,-,10,6,4,6,0,0,0,0,0,4,948700000,696472,1459
dsa,2,t1,1,14,0,4,3,1,0,0,0,0,0,3,406900000,1127088,1184
dsa,_,"-""-",-,-,1,4,5,3,0,0,0,0,0,5,491000000,1127088,1484
dsa,_,"-""-",-,-,2,4,4,3,0,0,0,0,0,4,521400000,1127088,1471
dsa,_,"-""-",-,-,3,4,3,1,0,0,0,0,0,3,396900000,1127088,1139
dsa,_,"-""-",-,-,4,4,3,1,0,0,0,0,0,3,357500000,1127088,1080
dsa,_,"-""-",-,-,5,4,2,0,0,0,0,0,0,2,329800000,1127088,920
dsa,_,"-""-",-,-,6,4,2,0,0,0,0,0,0,2,303300000,1127088,871
dsa,_,"-""-",-,-,7,4,2,0,0,0,0,0,0,2,275600000,1127088,865
dsa,_,"-""-",-,-,8,3,2,0,0,0,0,0,0,2,240400000,1127088,812
dsa,_,"-""-",-,-,9,3,0,0,0,0,0,0,0,0,164800000,1127088,530
dsa,_,"-""-",-,-,10,6,6,0,0,0,0,0,0,6,559900000,1127088,1463
dsa,_,"-""-",-,-,11,4,6,0,0,0,0,0,0,6,492400000,1127088,1379
dsa,_,"-""-",-,-,12,5,0,0,0,0,0,0,0,0,285900000,1127088,825
dsa,_,"-""-",-,-,13,4,6,5,0,0,0,0,0,6,577200000,1127088,1767
dsa,3,t2,1,9,0,4,2,2,0,0,0,0,0,2,319500000,1050560,1080
dsa,_,"-""-",-,-,1,3,4,0,0,0,0,0,0,4,310800000,1050560,967
dsa,_,"-""-",-,-,2,4,4,3,0,0,0,0,0,4,606600000,1050560,1475
dsa,_,"-""-",-,-,3,4,4,0,0,0,0,0,0,4,346300000,1050560,1139
dsa,_,"-""-",-,-,4,4,4,0,0,0,0,0,0,4,371200000,1050560,1134
dsa,_,"-""-",-,-,5,4,4,0,0,0,0,0,0,4,460200000,1050560,1135
dsa,_,"-""-",-,-,6,4,5,1,0,0,0,0,0,5,527500000,1050560,1364
dsa,_,"-""-",-,-,7,4,0,0,0,0,0,0,0,0,305000000,1050560,932
dsa,_,"-""-",-,-,8,4,0,0,0,0,0,0,0,0,246400000,1050560,838
dsa,4,t3,1,10,0,5,3,1,0,0,0,0,0,3,343600000,1336592,1089
dsa,_,"-""-",-,-,1,5,2,2,0,0,0,0,0,2,451700000,1336592,1209
dsa,_,"-""-",-,-,2,3,0,0,0,0,0,0,0,0,290800000,1336592,871
dsa,_,"-""-",-,-,3,4,4,2,0,0,0,0,0,4,460700000,1336592,1386
dsa,_,"-""-",-,-,4,4,2,2,0,0,0,0,0,2,386800000,1336592,1183
dsa,_,"-""-",-,-,5,3,2,2,0,0,0,0,0,2,381800000,1336592,1143
dsa,_,"-""-",-,-,6,3,4,4,0,0,0,0,0,4,859700000,1336592,1361
dsa,_,"-""-",-,-,7,3,4,4,0,0,0,0,0,4,774500000,1336592,1310
dsa,_,"-""-",-,-,8,3,2,6,0,0,0,0,0,2,407100000,1336592,1312
dsa,_,"-""-",-,-,9,3,4,6,0,0,0,0,0,4,461600000,1336592,1627
